Field_	Motor_	Timestamp_	Sample1_X_	Sample1_Y_	Sample2_X_	Sample2_Y_	Sample_T_
3.499975690E+1	0.000000000E+0	5.841457528E+0	9.585026419E-4	1.567157335E-3	1.531289076E-3	1.864469028E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	5.882709926E+0	9.585638763E-4	1.566276653E-3	1.531463349E-3	1.864247024E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	5.919510029E+0	9.585337830E-4	1.565631712E-3	1.531516085E-3	1.864052960E-3	1.755700000E+0
3.499974789E+1	0.000000000E+0	5.957338074E+0	9.584186482E-4	1.565065351E-3	1.531426678E-3	1.863887883E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	6.002380885E+0	9.582447819E-4	1.564704930E-3	1.531135058E-3	1.863708138E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	6.039252053E+0	9.580518817E-4	1.564554521E-3	1.530742738E-3	1.863570651E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	6.075341767E+0	9.578815079E-4	1.564579899E-3	1.530211885E-3	1.863451558E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	6.114298476E+0	9.577067103E-4	1.564804581E-3	1.529448316E-3	1.863329322E-3	1.755700000E+0
3.499974789E+1	0.000000000E+0	6.157722236E+0	9.576009470E-4	1.565186540E-3	1.528670429E-3	1.863250043E-3	1.755700000E+0
3.499973887E+1	0.000000000E+0	6.203280093E+0	9.575720760E-4	1.565859187E-3	1.527678687E-3	1.863148878E-3	1.755700000E+0
3.499973887E+1	0.000000000E+0	6.241162613E+0	9.576465818E-4	1.566545456E-3	1.526755397E-3	1.863045385E-3	1.755700000E+0
3.499973887E+1	0.000000000E+0	6.282246951E+0	9.578019381E-4	1.567278174E-3	1.525826985E-3	1.862916863E-3	1.755700000E+0
3.499973887E+1	0.000000000E+0	6.322251138E+0	9.580584592E-4	1.568129752E-3	1.525054220E-3	1.862776582E-3	1.755700000E+0
3.499974789E+1	0.000000000E+0	6.358027816E+0	9.583784267E-4	1.568968408E-3	1.524259569E-3	1.862604404E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	6.402920602E+0	9.588600369E-4	1.570010441E-3	1.523387968E-3	1.862353994E-3	1.755700000E+0
3.499974789E+1	0.000000000E+0	6.440560463E+0	9.593127179E-4	1.570849097E-3	1.522638137E-3	1.862095436E-3	1.755700000E+0
3.499974789E+1	0.000000000E+0	6.491495876E+0	9.599928162E-4	1.571938046E-3	1.521895174E-3	1.861817204E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	6.525927247E+0	9.604599909E-4	1.572592067E-3	1.521314378E-3	1.861597295E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	6.562575729E+0	9.610057459E-4	1.573268441E-3	1.520776073E-3	1.861412777E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	6.602389561E+0	9.615226882E-4	1.573819667E-3	1.520274789E-3	1.861245837E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	6.636117136E+0	9.619982448E-4	1.574238064E-3	1.519840909E-3	1.861119526E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	6.673150003E+0	9.623610531E-4	1.574486145E-3	1.519442420E-3	1.861026860E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	6.706766869E+0	9.627496474E-4	1.574660069E-3	1.519078738E-3	1.860965160E-3	1.755700000E+0
3.499978394E+1	0.000000000E+0	6.745065621E+0	9.630905697E-4	1.574701513E-3	1.518760109E-3	1.860964578E-3	1.755700000E+0
3.499977493E+1	0.000000000E+0	6.781226780E+0	9.633891750E-4	1.574608032E-3	1.518485951E-3	1.861023018E-3	1.755700000E+0
3.499977493E+1	0.000000000E+0	6.819233438E+0	9.636350442E-4	1.574388356E-3	1.518259291E-3	1.861148165E-3	1.755700000E+0
3.499978394E+1	0.000000000E+0	6.855847426E+0	9.638528572E-4	1.574024325E-3	1.518057426E-3	1.861364348E-3	1.755700000E+0
3.499980197E+1	0.000000000E+0	6.902910234E+0	9.640467470E-4	1.573495334E-3	1.517890603E-3	1.861654571E-3	1.755700000E+0
3.499979296E+1	0.000000000E+0	6.936895453E+0	9.641770739E-4	1.572994865E-3	1.517792814E-3	1.861921512E-3	1.755700000E+0
3.499979296E+1	0.000000000E+0	6.972146161E+0	9.643061203E-4	1.572379144E-3	1.517708064E-3	1.862205798E-3	1.755700000E+0
3.499979296E+1	0.000000000E+0	7.010530839E+0	9.644373204E-4	1.571667846E-3	1.517667901E-3	1.862438163E-3	1.755700000E+0
3.499978394E+1	0.000000000E+0	7.048819676E+0	9.645690443E-4	1.570942928E-3	1.517669647E-3	1.862681471E-3	1.755700000E+0
3.499979296E+1	0.000000000E+0	7.102545085E+0	9.647710249E-4	1.569944783E-3	1.517744619E-3	1.862869016E-3	1.755700000E+0
